job_title,company_name,company_location,work_method,post_date,work_time
Junior BI Analyst,MTS Globe,"Palma, Balearic Islands, Spain",Hybrid,1 month ago,Full-time
BI Analyst,MTS Globe,"Palma, Balearic Islands, Spain",Hybrid,4 days ago,Full-time
Data Analyst SSIS + PowerBI,ServiguideBPO,Greater Bilbao Metropolitan Area,Hybrid,3 days ago,Full-time
Business Intelligence Analyst,Nordex Group,"Pamplona, Chartered Community of Navarre, Spain",On-site,2 months ago,Full-time · Mid-Senior level
Data Analyst,Ookla,"Málaga, Andalusia, Spain",Remote,2 months ago,Full-time · Entry level
Data Analyst,Exoticca,"Barcelona, Catalonia, Spain",Hybrid,1 month ago,Full-time · Associate
Data Visualization Analyst,Experfy,"Barcelona, Catalonia, Spain",On-site,2 months ago,Contract · Mid-Senior level
Business Intelligence Analyst,triggle,"Palma, Balearic Islands, Spain",Hybrid,1 month ago,Contract
"Data Analyst Python, Numpy y Pandas (100% Remoto)",ServiguideBPO,"Madrid, Community of Madrid, Spain",Remote,1 month ago,Full-time
Data/tools Analyst,KION Group,"Coslada, Community of Madrid, Spain",On-site,1 hour ago,Full-time · Entry level
Game Data Analyst,Madbox,"Barcelona, Catalonia, Spain",Hybrid,1 month ago,Full-time
Data Analyst,inITium HR,"Olèrdola, Catalonia, Spain",Hybrid,1 month ago,Full-time
Data Analyst,MVGM Nederland,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Entry level
Data Analyst,PandaGo,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Contract · Mid-Senior level
Data Analyst / Power BI Developer - 100% Remoto,Rhams Talent,"Barcelona, Catalonia, Spain",Remote,2 weeks ago,"€30,000/yr - €35,000/yr · Full-time · Mid-Senior level"
Data Analyst,Classgap,"Barcelona, Catalonia, Spain",Remote,2 weeks ago,51-200 employees · Education Management
Data Analyst,Ironhack,Spain,Remote,1 month ago,Full-time · Mid-Senior level
Data Analyst,Agentero,"Madrid, Community of Madrid, Spain",Hybrid,5 days ago,Full-time · Entry level
Data Analyst (PowerBI),Capgemini,"Madrid, Community of Madrid, Spain",Remote,1 month ago,Full-time · Entry level
Data Analyst (Reporting and Insights),Envol Strategies,"Barcelona, Catalonia, Spain",Hybrid,1 month ago,Full-time · Entry level
Data Analyst,Seedtag,"Madrid, Community of Madrid, Spain",Remote,3 weeks ago,Full-time · Mid-Senior level
Data Analyst Qlik,TheWhiteam,"Bilbao-Bilbo, Basque Country, Spain",Hybrid,2 hours ago,Full-time · Entry level
Game Data Analyst,Inoltra,"Barcelona, Catalonia, Spain",On-site,6 days ago,Full-time · Mid-Senior level
Data Analyst,Winning Spain,"Boadilla del Monte, Community of Madrid, Spain",Hybrid,1 month ago,Full-time · Entry level
Analista de Datos Power BI,UNIR - La Universidad en Internet,"Pozuelo de Alarcón, Community of Madrid, Spain",Remote,5 hours ago,Full-time · Mid-Senior level
Data Analyst - 100% remoto,Kapres Technology,"Madrid, Community of Madrid, Spain",Hybrid,1 month ago,Full-time · Entry level
Business Intelligence Analyst,Finsolutia,"Madrid, Community of Madrid, Spain",Hybrid,1 month ago,Full-time
Data Analyst for Airlines e-Commerce platform,Newshore (a FLYR Labs company),"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time
Analista de Datos,Marlex,"Zaragoza, Aragon, Spain",Hybrid,1 month ago,201-500 employees · Computer Games
DATA ANALYST,Marlex,"Girona, Catalonia, Spain",Hybrid,1 month ago,Full-time · Mid-Senior level
Game Data Analyst,IO Interactive,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Business Data Analyst,Seedtag,"Madrid, Community of Madrid, Spain",Remote,1 month ago,Full-time · Entry level
Data Analyst,The Mind Hub Company,"Barcelona, Catalonia, Spain",Hybrid,2 months ago,Contract · Mid-Senior level
Prácticas como Data Analyst & CRO,ARKANA - La empresa de las Apps,"Barcelona, Catalonia, Spain",On-site,1 month ago,Full-time · Entry level
Data Analyst - QA Tester,Experfy,"Barcelona, Catalonia, Spain",On-site,3 months ago,Full-time
Data Analyst,Cabify,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Full-time
Analista de datos junior,Fineco Private Banking Kutxabank,"Bilbao-Bilbo, Basque Country, Spain",On-site,1 month ago,Full-time · Entry level
Data Analyst,Marlex,"Girona, Catalonia, Spain",On-site,1 month ago,Internship · Internship
Analista de Datos,EMPRESAS IMAN,"Azuqueca de Henares, Castile-La Mancha, Spain",Hybrid,2 months ago,Full-time · Entry level
BECA - Data Analyst,Grupo MASMOVIL,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Entry level
Data Analyst,Cabify,"Madrid, Community of Madrid, Spain",Remote,2 months ago,Full-time · Mid-Senior level
Analista de Datos,SEREM Consultoría Empresarial,"Madrid, Community of Madrid, Spain",On-site,2 months ago,Full-time · Mid-Senior level
Data Development Analyst,"Solera, Inc.","Madrid, Community of Madrid, Spain",On-site,6 days ago,Full-time · Entry level
DATA DEVELOPMENT ANALYST,"Solera, Inc.","Madrid, Community of Madrid, Spain",On-site,1 month ago,Full-time
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,"Elche, Valencian Community, Spain",Hybrid,1 month ago,Full-time · Mid-Senior level
Data Analyst - UI/UX,Between Technology,"Sant Cugat del Vallès, Catalonia, Spain",On-site,2 weeks ago,Full-time · Mid-Senior level
Analista de datos Junior,Krell Consulting,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Entry level
Analytics Consultant Junior,JAKALA Iberia,"Madrid, Community of Madrid, Spain",On-site,1 month ago,Full-time · Entry level
Analista de datos,Grupo Crit,"Guissona, Catalonia, Spain",Hybrid,5 days ago,Full-time · Entry level
Data Analyst,Arelance,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time
"Data Analyst - Barcelona, España",Triangle Talent - Solutions RRHH (España),"Barcelona, Catalonia, Spain",Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Data Analyst (Cloud composer+PowerBI),IT Partner España,"Humanes de Madrid, Community of Madrid, Spain",Remote,1 month ago,Full-time · Mid-Senior level
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Hybrid,1 week ago,201-500 employees · IT Services and IT Consulting
Analista Business Intelligence,LA SIRENA,"Viladecavalls, Catalonia, Spain",Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Remote,1 month ago,Full-time · Entry level
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Hybrid,3 days ago,Full-time
Analista Data Science (H/M/X),Enertis Applus+,"Madrid, Community of Madrid, Spain",Remote,1 week ago,Full-time · Entry level
Analista de datos,Qindel Group,"A Coruña, Galicia, Spain",Hybrid,2 months ago,Full-time
"Data Analyst – Bilbao, Madrid",Teknei,"Madrid, Community of Madrid, Spain",On-site,1 month ago,Full-time
Analista de Datos (Backoffice),Clikalia,"Málaga, Andalusia, Spain",On-site,1 month ago,Internship · Internship
Data Analyst,Grupo Planeta,"L'Hospitalet de Llobregat, Catalonia, Spain",Remote,5 months ago,Full-time
Junior BI Consultant,Kiteris,"Barcelona, Catalonia, Spain",Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Crypto Quantitative Analyst,Token Metrics,"Barcelona, Catalonia, Spain",Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Remote,1 week ago,201-500 employees · IT Services and IT Consulting
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,Remote,2 weeks ago,Full-time · Mid-Senior level
Middle Data Analyst - Python (Incorporación en septiembre),Teralco,Spain,On-site,1 month ago,Full-time
Data Analyst / Business Intelligence,Michael Page,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Data / BI Analyst,AWWG,"Barcelona, Catalonia, Spain",On-site,1 month ago,Full-time · Mid-Senior level
Data Analyst,HOLA CONSULTORES SL,"Barcelona, Catalonia, Spain",On-site,1 month ago,Full-time · Entry level
Marketing Data Analyst/Scientist,Addyou,"Madrid, Community of Madrid, Spain",Hybrid,6 days ago,Internship · Internship
